104,2020-1-31 19:42 IST,24
105,2020-1-31 19:57 IST,24
100,2020-1-31 20:12 IST,24
98,2020-1-31 20:28 IST,24
107,2020-1-31 20:43 IST,24
111,2020-1-31 20:58 IST,24
112,2020-1-31 21:13 IST,24
117,2020-1-31 21:29 IST,24
118,2020-1-31 21:44 IST,2
159,2020-1-31 21:59 IST,24
73,2020-1-31 22:13 IST,24 
67,2020-1-31 22:28 IST,24
64,2020-1-31 22:44 IST,24
62,2020-1-31 22:59 IST,24
59,2020-1-31 23:15 IST,24
61,2020-1-31 23:30 IST,24
55,2020-1-31 23:46 IST,24
69,2020-2-1 8:23 IST,24
67,2020-2-1 8:38 IST,24
70,2020-2-1 8:53 IST,24
86,2020-2-1 11:38 IST,24
83,2020-2-1 11:53 IST,24
85,2020-2-1 12:8 IST,24
83,2020-2-1 12:23 IST,24
86,2020-2-1 12:39 IST,24
87,2020-2-1 12:54 IST,24
89,2020-2-1 13:9 IST,24
90,2020-2-1 13:24 IST,24
87,2020-2-1 13:40 IST,24
83,2020-2-1 13:55 IST,24
83,2020-2-1 15:3 IST,24
86,2020-2-1 15:19 IST,24
89,2020-2-1 15:34 IST,24
85,2020-2-1 15:49 IST,24
86,2020-2-2 14:25 IST,24
105,2020-2-2 14:40 IST,24
99,2020-2-2 14:55 IST,24
99,2020-2-2 15:10 IST,24
104,2020-2-2 15:26 IST,24
105,2020-2-2 15:41 IST,24
101,2020-2-2 15:56 IST,24
99,2020-2-2 16:11 IST,24
97,2020-2-2 16:27 IST,24
90,2020-2-2 16:42 IST,24
90,2020-2-2 16:57 IST,24
88,2020-2-2 17:12 IST,24
85,2020-2-2 17:27 IST,24
86,2020-2-2 17:43 IST,24
86,2020-2-2 17:58 IST,24
88,2020-2-2 18:13 IST,24
91,2020-2-2 18:28 IST,24
96,2020-2-2 18:44 IST,24
107,2020-2-2 18:59 IST,24
76,2020-2-3 11:50 IST,24
80,2020-2-3 12:5 IST,24
79,2020-2-3 12:20 IST,24
80,2020-2-3 12:36 IST,24
82,2020-2-3 12:51 IST,24
82,2020-2-3 13:6 IST,24
85,2020-2-3 13:21 IST,24
83,2020-2-3 13:37 IST,24
86,2020-2-3 16:51 IST,24
83,2020-2-3 17:6 IST,24
83,2020-2-3 17:22 IST,24
90,2020-2-3 17:37 IST,24
90,2020-2-3 17:52 IST,24
89,2020-2-3 18:7 IST,24
90,2020-2-3 18:22 IST,24
92,2020-2-3 20:21 IST,24
94,2020-2-3 20:36 IST,24
93,2020-2-3 20:52 IST,24
95,2020-2-3 21:7 IST,24
101,2020-2-3 21:22 IST,24
81,2020-2-4 14:16 IST,24
79,2020-2-7 11:35 IST,24
83,2020-2-7 11:50 IST,24
87,2020-2-7 12:40 IST,24
81,2020-2-7 14:50 IST,24
76,2020-2-7 15:5 IST,24
84,2020-2-7 15:20 IST,24
90,2020-2-7 15:35 IST,24
87,2020-2-7 15:51 IST,24
88,2020-2-7 16:6 IST,24
87,2020-2-7 16:21 IST,24
82,2020-2-7 16:36 IST,24
83,2020-2-7 16:52 IST,24
80,2020-2-7 17:7 IST,24
76,2020-2-7 17:22 IST,24
79,2020-2-7 17:37 IST,24
80,2020-2-7 17:53 IST,24
78,2020-2-7 18:8 IST,24
80,2020-2-7 18:23 IST,24
81,2020-2-7 18:38 IST,24
89,2020-2-7 18:54 IST,24
96,2020-2-7 19:9 IST,24
94,2020-2-7 19:43 IST,24
90,2020-2-7 19:58 IST,24
97,2020-2-7 20:13 IST,24
99,2020-2-7 20:29 IST,24
97,2020-2-7 20:44 IST,2421,2020-2-7 21:1 IST,24
